locus	NMEL	AAUR	APUR	Mgen	AVIR	HLIG	HQUA	HRUB	LLEU	LMAR	LFIG	LZEP	LVIE	LPAU	LOEN	LMAL	LCAL	LALB	shift
0_100	0.2834	0.454	0.407	0.3915	0.4131	0.4486	0.4747	0.4762	0.5213	0.4777	0.4786	0.4934	0.4934	0.4652	0.4652	0.4815	0.454	0.454	fast
50_150	0.2189	0.4143	0.3934	0.3534	0.4281	0.4138	0.4022	0.4025	0.4907	0.3806	0.3798	0.3917	0.4024	0.3908	0.4015	0.3798	0.3584	0.3584	neither
100_200	0.1949	0.3613	0.3763	0.3043	0.3536	0.3555	0.3744	0.3553	0.37	0.3258	0.3477	0.3154	0.3257	0.3372	0.3681	0.3373	0.3153	0.3259	neither
150_250	0.3033	0.3642	0.3553	0.3802	0.4076	0.4092	0.4194	0.3986	0.4355	0.3914	0.4035	0.3713	0.3713	0.403	0.4035	0.3714	0.371	0.3812	neither
200_300	0.3527	0.3798	0.323	0.3679	0.4054	0.3477	0.2996	0.3184	0.3753	0.3358	0.3269	0.3175	0.3267	0.3467	0.3472	0.3082	0.3263	0.3263	neither
250_350	0.3455	0.4322	0.348	0.3924	0.388	0.3701	0.3271	0.3078	0.3554	0.3126	0.3126	0.3029	0.303	0.3228	0.3422	0.2935	0.312	0.3028	neither
300_400	0.1905	0.2695	0.2472	0.2948	0.2677	0.3015	0.266	0.2459	0.2696	0.2524	0.2524	0.2622	0.2524	0.2524	0.2623	0.2326	0.2521	0.2424	neither
350_450	0.0854	0.2697	0.2643	0.2879	0.2194	0.2537	0.2425	0.2318	0.2897	0.3327	0.3108	0.355	0.355	0.2887	0.3454	0.3105	0.2995	0.2995	fast
400_500	0.1901	0.3964	0.3926	0.4357	0.2298	0.3152	0.3145	0.3332	0.3482	0.3666	0.3702	0.4206	0.4206	0.3416	0.4252	0.3878	0.3416	0.3531	fast
450_550	0.2305	0.435	0.456	0.433	0.3251	0.346	0.367	0.3871	0.3643	0.3403	0.3404	0.3509	0.3509	0.3299	0.3619	0.3511	0.383	0.3629	fast
500_600	0.2188	0.5188	0.53	0.5007	0.4065	0.4152	0.3921	0.4002	0.4315	0.3704	0.3911	0.3701	0.3798	0.3802	0.4	0.4099	0.4597	0.4582	neither
550_650	0.1877	0.4072	0.3747	0.369	0.3527	0.3348	0.3556	0.3415	0.3718	0.3283	0.3397	0.339	0.3392	0.3282	0.3386	0.3602	0.3736	0.3928	neither
600_700	0.2711	0.3684	0.3888	0.3806	0.4678	0.3681	0.3887	0.3783	0.4591	0.4465	0.4692	0.4576	0.4469	0.4358	0.4575	0.5262	0.4917	0.4813	neither
650_750	0.5166	0.6496	0.7057	0.7151	0.6354	0.6445	0.6128	0.611	0.6988	0.7173	0.714	0.6925	0.7021	0.6751	0.6887	0.9056	0.858	0.8407	fast
700_800	0.2696	0.3138	0.3097	0.4007	0.6093	0.6933	0.6269	0.6404	0.6712	0.6217	0.5961	0.5856	0.5962	0.5594	0.584	0.7638	0.7175	0.7475	neither
750_850	0.3892	0.31	0.3488	0.3831	0.7013	0.6216	0.6276	0.6405	0.6151	0.5399	0.5128	0.5244	0.5173	0.5278	0.509	0.5327	0.5123	0.4871	neither
800_900	0.2305	0.225	0.2444	0.2597	0.3239	0.2854	0.4112	0.4523	0.3841	0.2852	0.2461	0.2627	0.2759	0.3917	0.3039	0.3307	0.3115	0.2871	neither
850_950	0.1987	0.5661	0.596	0.5133	0.6781	0.6048	0.6509	0.661	0.6766	0.5186	0.5618	0.5395	0.55	0.6342	0.6248	0.6392	0.6064	0.6065	neither
900_1000	0.2197	0.5832	0.5649	0.5146	0.5954	0.5266	0.4799	0.4492	0.5426	0.513	0.5023	0.5135	0.5135	0.5043	0.5362	0.5129	0.5018	0.5121	neither
950_1015	0.2273	0.3766	0.3864	0.3782	0.3127	0.2627	0.2474	0.2475	0.3412	0.3547	0.2773	0.292	0.292	0.2773	0.2773	0.2773	0.2773	0.2773	neither
1000_1015	0.3835	0.1347	0.2029	0.2034	0.133	0.0665	0.0665	0.1337	0.2041	0.1328	0.0665	0.0665	0.0665	0.0665	0.0665	0.0665	0.0665	0.0665	neither
fpocket	0.2035	0.165	0.2042	0.2042	0.2474	0.2458	0.2261	0.2261	0.2455	0.2648	0.2455	0.2455	0.2455	0.2455	0.2649	0.2646	0.2455	0.2651	neither
protindb	0.2996	0.4049	0.4056	0.3855	0.469	0.6045	0.5397	0.5662	0.5326	0.5283	0.519	0.5576	0.5433	0.5289	0.6043	0.5001	0.53	0.5149	neither
