locus	NMEL	AAUR	APUR	Mgen	AVIR	HLIG	HQUA	HRUB	LLEU	LMAR	LFIG	LZEP	LVIE	LPAU	LOEN	LMAL	LCAL	LALB	shift
0_100	1.4456	1.9493	1.9234	1.894	1.362	1.4537	1.4962	1.4434	1.5014	1.4246	1.407	1.4937	1.5149	1.4259	1.4543	1.4159	1.4243	1.4243	neither
50_150	1.2735	1.6958	1.6657	1.6747	1.2566	1.0902	1.1531	1.1315	1.2463	1.1266	1.1368	1.177	1.1676	1.1194	1.1504	1.1266	1.1166	1.1166	neither
100_200	0.7502	0.7522	0.8428	0.7566	1.0199	0.9369	0.9567	0.9552	0.9078	0.781	0.8111	0.8297	0.8425	0.7996	0.807	0.7612	0.7612	0.7515	neither
150_250	0.3415	0.4269	0.5017	0.4099	0.9213	0.9198	0.9297	0.9151	0.8619	0.8184	0.8179	0.8982	0.9256	0.8205	0.8226	0.8006	0.8101	0.8006	neither
200_300	0.1652	0.3613	0.375	0.4161	0.8512	0.6884	0.748	0.7394	0.6582	0.6334	0.6335	0.7592	0.7495	0.6334	0.6432	0.6432	0.6529	0.6529	neither
250_350	0.2993	0.5413	0.553	0.7227	0.8595	0.7135	0.8432	0.8663	0.7314	0.7314	0.7021	0.8193	0.8193	0.7117	0.7213	0.7021	0.7212	0.7313	neither
300_400	0.5077	0.7986	0.9098	1.0136	1.1084	1.0379	1.2958	1.2786	1.036	0.9745	0.9237	1.0739	1.0932	0.9548	0.9545	0.9544	0.9544	1.0031	neither
350_450	0.56	1.0319	1.2234	1.2628	1.3595	1.2301	1.43	1.3891	1.261	1.1793	1.187	1.3618	1.4052	1.1842	1.1793	1.1987	1.1988	1.2285	neither
400_500	0.4807	0.9958	1.0957	1.1116	0.9954	0.9062	0.9302	0.9554	1.009	0.9402	0.9731	1.0675	1.1207	0.9768	0.9507	0.9508	0.9616	0.9616	neither
450_550	0.3299	0.6164	0.705	0.6656	0.5881	0.4803	0.5584	0.5897	0.5335	0.5231	0.5128	0.5749	0.5957	0.5428	0.5228	0.5228	0.543	0.563	neither
500_583	0.3765	0.5674	0.649	0.6808	0.7258	0.7002	0.8583	0.8547	0.7459	0.7518	0.7394	0.8294	0.8049	0.7632	0.7275	0.7512	0.8016	0.8133	neither
550_583	0.4407	0.4105	0.5521	0.7209	0.8832	1.1861	1.3427	1.3091	1.1479	1.1922	1.2221	1.3237	1.2607	1.2216	1.1631	1.1925	1.2558	1.2558	neither
fpocket	0.0277	0.1878	0.2168	0.2177	0.2857	0.281	0.343	0.4094	0.3928	0.3932	0.3928	0.4553	0.4834	0.393	0.3934	0.3644	0.3644	0.3934	neither
