motif	soc_sig	sol_sig	num_tests	previous	soc_perms	sol_perms	soc-sol
sr_SOLEXA_5	7	1	586	sol	51	923	6
lola_PD_SOLEXA_5	7	1	586	NA	23	900	6
grh_FlyReg	6	2	587	NA	121	820	4
foxo_SOLEXA	5	1	587	soc	200	918	4
CrebA_SOLEXA	5	1	586	soc	102	855	4
CG12236_PA_SOLEXA_5	5	1	587	soc	140	906	4
Cf2_PB_SOLEXA_5	5	1	586	soc	116	919	4
Ara_SOLEXA	6	2	587	soc	106	826	4
apt_SELEX	5	1	543	soc	24	795	4
sd_FlyReg	5	2	587	soc	113	741	3
run_Bgb_NBT	5	2	587	NA	133	705	3
retn_SOLEXA	3	0	587	soc	375	1000	3
Hr78_SOLEXA	3	0	584	NA	283	1000	3
Hmx_SOLEXA	5	2	587	NA	99	657	3
gsb_n_SOLEXA	5	2	587	NA	237	848	3
ftz_f1_SOLEXA_2	3	0	581	NA	351	1000	3
eyg_SOLEXA_t50	4	1	587	NA	225	931	3
Eip74EF_SOLEXA	5	2	583	soc	75	613	3
dys_tgo_SOLEXA_5	3	0	587	NA	522	1000	3
Deaf1_FlyReg	5	2	587	NA	370	896	3
D19A_F10_12_SANGER_5	4	1	587	soc	350	982	3
cic_SOLEXA	4	1	587	NA	308	958	3
CG7368_SOLEXA_2.5	4	1	564	NA	219	861	3
CG32830_SOLEXA_5	3	0	587	NA	464	1000	3
acj6_SOLEXA	5	2	587	soc	158	824	3
Xrp1_CG6272_SOLEXA	4	2	584	soc	206	597	2
vvl_SOLEXA	4	2	587	soc	273	790	2
tgo_ss_SOLEXA_5	3	1	587	NA	479	914	2
tgo_sima_SOLEXA_5	2	0	586	soc	625	1000	2
peb_F1_3_SOLEXA_2.5	3	1	587	sol	366	860	2
ovo_SOLEXA_5	3	1	583	soc	397	857	2
NFAT_SOLEXA	2	0	586	NA	744	1000	2
nau_SOLEXA_5	3	1	587	soc	357	850	2
Mes2_SOLEXA	3	1	587	sol	433	928	2
lola_PU_SOLEXA_5	2	0	587	NA	691	1000	2
lola_PG_SOLEXA_	2	0	587	soc	688	1000	2
Lag1_SOLEXA	4	2	587	soc	413	809	2
h_SOLEXA_5	2	0	585	soc	654	1000	2
HLH4C_da_SOLEXA_5	3	1	587	NA	461	915	2
gsb_SOLEXA	3	1	587	NA	455	887	2
gcm_SELEX	4	2	587	sol	265	727	2
D19B_SOLEXA_5	3	1	587	soc	605	950	2
crp_SOLEXA_5	3	1	587	NA	323	881	2
CG7056_SOLEXA	2	0	587	soc	624	1000	2
CG5180_SOLEXA	2	0	587	soc	791	1000	2
CG13897_SOLEXA	4	2	587	NA	252	693	2
CG12236_PB_SOLEXA_2.5	2	0	587	NA	785	1000	2
CG11071_SOLEXA_5	5	3	587	sol	128	495	2
Bteb2_SOLEXA_2.5	3	1	585	sol	601	914	2
Achi_SOLEXA	3	1	587	NA	449	920	2
tll_SOLEXA	2	1	569	soc	449	816	1
shn_F1_2_SOLEXA_2.5	3	2	585	NA	311	630	1
Rel_SANGER	4	3	587	soc	360	515	1
Oli_da_SOLEXA_5_1	2	1	587	NA	664	898	1
Met_SOLEXA_5	2	1	587	NA	722	884	1
Max_Mnt_SOLEXA_5	1	0	587	soc	898	1000	1
Mad_FlyReg	2	1	587	sol	837	958	1
lola_PY_SOLEXA_5	3	2	587	NA	526	764	1
lola_PP_SOLEXA_2.5	2	1	587	soc	810	945	1
ken_SOLEXA_5	3	2	587	soc	488	702	1
kay_Jra_SANGER	1	0	587	soc	891	1000	1
jigr1_SOLEXA	5	4	587	NA	210	245	1
HLH106_SOLEXA_5_4	3	2	587	NA	448	685	1
gl_SOLEXA_5	4	3	587	NA	333	592	1
fru_PI_SOLEXA_5	3	2	587	soc	545	712	1
fkh_NAR	5	4	587	soc	143	254	1
Ets98B_SOLEXA	4	3	587	soc	308	509	1
E5_SOLEXA	2	1	587	soc	564	851	1
Doc2_SOLEXA	2	1	587	NA	594	859	1
dimm_da_SOLEXA_5	3	2	584	soc	301	641	1
da_SOLEXA_5	2	1	586	sol	649	871	1
crol_F7_16_SOLEXA_2.5	3	2	572	soc	499	601	1
chinmo_SOLEXA_15	1	0	586	soc	909	1000	1
CG8281_SOLEXA	2	1	577	NA	566	836	1
CG6276_SOLEXA	2	1	587	NA	785	917	1
CG4854_SOLEXA_5	4	3	584	NA	186	440	1
CG3065_F1_5_SOLEXA_2.5	3	2	585	sol	510	728	1
CG17181_SOLEXA_5	1	0	587	NA	921	1000	1
CG10904_SOLEXA	3	2	587	NA	630	828	1
byn_FlyReg	4	3	587	NA	311	622	1
BtbVII_SOLEXA	4	3	581	soc	189	400	1
br_PL_SOLEXA_5	5	4	587	NA	182	390	1
br_PE_SOLEXA_5	1	0	587	soc	928	1000	1
bowl_SOLEXA_5	3	2	587	NA	470	727	1
Atf6_SOLEXA	2	1	575	sol	608	816	1
z_FlyReg	4	4	587	NA	525	602	0
vfl_SOLEXA_5	2	2	585	NA	629	574	0
Usf_SOLEXA_5	2	2	586	NA	597	543	0
ttk_PF_SOLEXA_5	1	1	587	soc	878	886	0
tap_da_SOLEXA_5	3	3	587	sol	373	382	0
tai_SOLEXA_5	1	1	587	NA	928	844	0
tai_Met_SOLEXA_5	1	1	586	soc	911	842	0
SuH_compiled	3	3	587	sol	685	638	0
Side_SOLEXA_5	2	2	586	NA	719	486	0
sens_SOLEXA_5	3	3	587	NA	452	489	0
rib_SOLEXA	1	1	587	soc	958	955	0
Parx_da_SOLEXA_5	0	0	585	NA	1000	1000	0
pad_SOLEXA_5	1	1	587	NA	970	959	0
opa_SOLEXA_5	4	4	584	sol	347	229	0
onecut_SOLEXA	2	2	587	soc	718	761	0
lola_PQ_SOLEXA	2	2	587	soc	805	779	0
lola_PO_SOLEXA	3	3	587	NA	592	596	0
lola_PJ_SOLEXA	0	0	582	soc	1000	1000	0
lola_PC_SOLEXA_5	4	4	587	soc	334	286	0
klu_SOLEXA_5	3	3	587	sol	612	443	0
Hth_SOLEXA	3	3	587	soc	601	681	0
HLH54F_da_SOLEXA_5	2	2	587	NA	748	737	0
hkb_SOLEXA_5	0	0	573	sol	1000	1000	0
Hand_da_SOLEXA_5	1	1	587	NA	923	909	0
Exd_SOLEXA	2	2	587	NA	798	825	0
Eip93F_SOLEXA	3	3	586	soc	345	352	0
disco_SOLEXA_5	0	0	587	soc	1000	1000	0
Dif_Rel_SELEX	3	3	584	NA	343	291	0
Ct_SOLEXA	1	1	587	soc	959	943	0
cnc_maf_s_SELEX	2	2	581	soc	691	723	0
CG9437_SOLEXA	2	2	586	soc	750	578	0
CG5953_SOLEXA	1	1	587	soc	914	849	0
CG5669_SOLEXA_5	1	1	584	sol	927	899	0
CG3919_SOLEXA	2	2	587	NA	789	704	0
CG31670_SOLEXA_5	1	1	587	NA	922	937	0
CG12768_SOLEXA	2	2	587	soc	757	622	0
CG12155_SOLEXA	2	2	587	soc	766	682	0
CG11504_SOLEXA	1	1	584	soc	858	821	0
CG10267_SOLEXA_5	3	3	587	NA	541	596	0
CG10267_F1_3_SOLEXA_5	4	4	587	soc	324	298	0
Cf2_PA_SOLEXA_2.5	1	1	583	soc	921	906	0
cas_SELEX	4	4	587	NA	309	327	0
C15_SOLEXA	2	2	587	NA	620	642	0
Blimp_1_SOLEXA_5	2	2	587	NA	804	776	0
Atf_2_SOLEXA	0	0	580	soc	1000	1000	0
Aef1_SOLEXA_5	2	2	587	soc	811	709	0
ttk_PA_SOLEXA_5	1	2	583	NA	918	528	-1
trem_SELEX	2	3	587	sol	852	641	-1
Tkr_SOLEXA	2	3	587	soc	699	330	-1
Stat92E_SELEX	2	3	587	soc	690	450	-1
Sox15_SOLEXA	3	4	586	soc	486	237	-1
Six4_SOLEXA_2	1	2	587	NA	955	846	-1
pros_SELEX	3	4	587	sol	633	497	-1
Optix_SOLEXA	4	5	587	soc	373	210	-1
nub_SOLEXA	3	4	587	soc	500	274	-1
lola_PW_SOLEXA	1	2	587	NA	941	692	-1
lola_PL_SOLEXA_2.5	2	3	587	NA	825	523	-1
lola_PK_SOLEXA	3	4	587	NA	526	291	-1
lola_PF_SOLEXA_2.5	1	2	587	NA	919	637	-1
lola_PA_SOLEXA_5	1	2	587	NA	974	823	-1
Lim3_SOLEXA	2	3	587	NA	615	390	-1
l_3_neo38_SOLEXA_2.5	0	1	582	NA	1000	879	-1
