motif	soc_sig	sol_sig	num_tests	previous	soc_perms	sol_perms	soc-sol
vfl_SOLEXA_5	3	1	144	NA	41	548	2
Rel_SANGER	2	0	150	soc	179	1000	2
Mad_FlyReg	2	0	144	sol	116	1000	2
lola_PG_SOLEXA_	2	0	128	soc	126	1000	2
lola_PD_SOLEXA_5	3	1	159	NA	101	583	2
crol_F7_16_SOLEXA_2.5	2	0	155	soc	232	1000	2
cic_SOLEXA	2	0	111	NA	132	1000	2
CG7368_SOLEXA_2.5	2	0	145	NA	116	1000	2
tgo_sima_SOLEXA_5	2	1	132	soc	98	385	1
sr_SOLEXA_5	1	0	149	sol	565	1000	1
Six4_SOLEXA_2	1	0	112	NA	431	1000	1
pho_SOLEXA_5	1	0	90	sol	342	1000	1
pfk_SOLEXA	2	1	135	NA	181	597	1
Parx_da_SOLEXA_5	1	0	130	NA	401	1000	1
Oli_da_SOLEXA_5_1	1	0	121	NA	435	1000	1
nub_SOLEXA	1	0	102	soc	441	1000	1
NFAT_SOLEXA	1	0	118	NA	489	1000	1
lola_PY_SOLEXA_5	1	0	115	NA	454	1000	1
lola_PU_SOLEXA_5	1	0	109	NA	488	1000	1
lola_PC_SOLEXA_5	1	0	98	soc	418	1000	1
Lag1_SOLEXA	1	0	99	soc	480	1000	1
kay_Jra_SANGER	1	0	109	soc	416	1000	1
Ind_Cell	1	0	71	soc	262	1000	1
Hsf_compiled	2	1	134	soc	169	492	1
Hr46_SOLEXA	1	0	102	sol	417	1000	1
HLH106_SOLEXA_5_4	1	0	138	NA	428	1000	1
hb_SOLEXA_5	1	0	105	soc	551	1000	1
Hand_da_SOLEXA_5	1	0	116	NA	359	1000	1
gsb_SOLEXA	1	0	133	NA	446	1000	1
CG5180_SOLEXA	1	0	138	soc	572	1000	1
CG3065_F1_5_SOLEXA_2.5	2	1	146	sol	194	541	1
CG12236_PA_SOLEXA_5	1	0	130	soc	455	1000	1
CG12029_SOLEXA_5	2	1	161	NA	195	600	1
CG10267_SOLEXA_5	1	0	112	NA	536	1000	1
cas_SELEX	1	0	97	NA	466	1000	1
Bteb2_SOLEXA_2.5	1	0	152	sol	630	1000	1
br_PL_SOLEXA_5	2	1	94	NA	99	372	1
brk_FlyReg	1	0	126	sol	440	1000	1
Adf1_SOLEXA	2	1	156	sol	193	511	1
