motif	soc_sig	sol_sig	num_tests	previous	soc_perms	sol_perms	soc-sol
foxo_SOLEXA	7	0	587	soc	36	1000	7
retn_SOLEXA	6	0	587	soc	33	1000	6
lola_PD_SOLEXA_5	8	3	587	NA	21	725	5
Hmx_SOLEXA	6	1	587	NA	39	915	5
CG7368_SOLEXA_2.5	7	2	586	NA	22	837	5
Oli_da_SOLEXA_5_1	5	1	587	NA	193	973	4
NFAT_SOLEXA	5	1	587	NA	203	975	4
gsb_n_SOLEXA	7	3	587	NA	50	764	4
apt_SELEX	6	2	565	soc	60	761	4
tll_SOLEXA	5	2	585	soc	108	726	3
sr_SOLEXA_5	5	2	587	sol	240	866	3
lola_PG_SOLEXA_	3	0	587	soc	448	1000	3
grh_FlyReg	7	4	587	NA	43	470	3
CrebA_SOLEXA	5	2	587	soc	177	838	3
cic_SOLEXA	4	1	587	NA	353	986	3
CG8281_SOLEXA	4	1	587	NA	284	945	3
CG6276_SOLEXA	3	0	587	NA	595	1000	3
Cf2_PB_SOLEXA_5	3	0	587	soc	522	1000	3
Ara_SOLEXA	5	2	587	soc	206	826	3
Xrp1_CG6272_SOLEXA	4	2	587	soc	311	803	2
SuH_compiled	4	2	587	sol	428	912	2
Six4_SOLEXA_2	3	1	587	NA	650	959	2
nub_SOLEXA	5	3	587	soc	177	542	2
lola_PY_SOLEXA_5	3	1	587	NA	572	969	2
klu_SOLEXA_5	2	0	587	sol	860	1000	2
ken_SOLEXA_5	5	3	587	soc	198	685	2
gcm_SELEX	6	4	587	sol	88	524	2
ftz_f1_SOLEXA_2	3	1	584	NA	499	972	2
eyg_SOLEXA_t50	4	2	587	NA	359	884	2
E5_SOLEXA	3	1	587	soc	279	837	2
Deaf1_FlyReg	5	3	587	NA	257	819	2
chinmo_SOLEXA_15	2	0	587	soc	651	1000	2
CG7056_SOLEXA	2	0	587	soc	634	1000	2
CG5669_SOLEXA_5	5	3	587	sol	224	742	2
CG32830_SOLEXA_5	3	1	587	NA	493	939	2
CG12236_PA_SOLEXA_5	4	2	587	soc	334	850	2
CG11504_SOLEXA	4	2	587	soc	333	860	2
CG11071_SOLEXA_5	5	3	587	sol	208	769	2
CG10267_SOLEXA_5	4	2	587	NA	546	950	2
bowl_SOLEXA_5	3	1	587	NA	516	980	2
Atf_2_SOLEXA	2	0	585	soc	787	1000	2
vvl_SOLEXA	5	4	587	soc	125	403	1
tai_Met_SOLEXA_5	3	2	586	soc	448	705	1
Sox15_SOLEXA	3	2	587	soc	556	759	1
sd_FlyReg	4	3	587	soc	255	494	1
run_Bgb_NBT	4	3	587	NA	393	639	1
Parx_da_SOLEXA_5	1	0	587	NA	902	1000	1
nau_SOLEXA_5	2	1	587	soc	691	974	1
Max_Mnt_SOLEXA_5	2	1	587	soc	785	956	1
lola_PW_SOLEXA	2	1	587	NA	757	966	1
lola_PU_SOLEXA_5	2	1	587	NA	803	989	1
lola_PQ_SOLEXA	3	2	587	soc	599	883	1
lola_PP_SOLEXA_2.5	2	1	587	soc	830	947	1
lola_PL_SOLEXA_2.5	3	2	587	NA	583	871	1
lola_PA_SOLEXA_5	2	1	587	NA	829	964	1
Lbe_SOLEXA	3	2	587	soc	372	678	1
Lag1_SOLEXA	4	3	587	soc	450	730	1
HLH54F_da_SOLEXA_5	3	2	587	NA	594	870	1
HLH106_SOLEXA_5_4	4	3	587	NA	354	671	1
Hey_SOLEXA_5	4	3	585	NA	309	562	1
gsb_SOLEXA	3	2	587	NA	604	885	1
fru_PI_SOLEXA_5	4	3	587	soc	407	725	1
fkh_NAR	5	4	587	soc	129	317	1
Exd_SOLEXA	3	2	587	NA	610	812	1
dsx_SELEX	3	2	587	soc	692	917	1
Dif_Rel_SELEX	4	3	585	NA	275	717	1
crp_SOLEXA_5	4	3	587	NA	303	758	1
CG12236_PB_SOLEXA_2.5	1	0	587	NA	950	1000	1
CG12155_SOLEXA	3	2	587	soc	626	851	1
Cf2_PA_SOLEXA_2.5	1	0	587	soc	955	1000	1
Bteb2_SOLEXA_2.5	2	1	587	sol	842	979	1
br_PL_SOLEXA_5	5	4	587	NA	220	481	1
br_PC_SOLEXA_10	2	1	587	soc	778	963	1
Achi_SOLEXA	2	1	587	NA	663	955	1
ttk_PF_SOLEXA_5	0	0	587	soc	1000	1000	0
tgo_ss_SOLEXA_5	2	2	587	NA	788	841	0
tai_SOLEXA_5	1	1	587	NA	912	945	0
sob_F3_5_SOLEXA_5	1	1	587	soc	922	945	0
shn_F1_2_SOLEXA_2.5	3	3	586	NA	400	650	0
sens_SOLEXA_5	3	3	587	NA	564	718	0
rib_SOLEXA	1	1	587	soc	954	961	0
Rel_SANGER	2	2	587	soc	794	884	0
pfk_SOLEXA	3	3	587	NA	689	810	0
ovo_SOLEXA_5	3	3	587	soc	610	665	0
opa_SOLEXA_5	5	5	585	sol	213	280	0
Met_SOLEXA_5	2	2	587	NA	729	753	0
Mes2_SOLEXA	5	5	587	sol	168	303	0
Mad_FlyReg	2	2	587	sol	745	858	0
lola_PO_SOLEXA	3	3	587	NA	623	799	0
lola_PF_SOLEXA_2.5	2	2	587	NA	795	885	0
Lim3_SOLEXA	2	2	587	NA	571	651	0
l_3_neo38_SOLEXA_2.5	1	1	587	NA	940	976	0
kay_Jra_SANGER	2	2	587	soc	759	905	0
jigr1_SOLEXA	5	5	587	NA	246	135	0
h_SOLEXA_5	1	1	585	soc	927	935	0
Hr78_SOLEXA	3	3	586	NA	494	616	0
HLH4C_SOLEXA_5	3	3	587	NA	530	737	0
HLH4C_da_SOLEXA_5	1	1	587	NA	942	980	0
Her_SOLEXA_5	3	3	587	sol	597	677	0
hb_SOLEXA_5	3	3	587	soc	680	586	0
Ets98B_SOLEXA	3	3	587	soc	567	681	0
dys_tgo_SOLEXA_5	3	3	587	NA	615	685	0
Doc2_SOLEXA	3	3	587	NA	544	619	0
disco_SOLEXA_5	0	0	587	soc	1000	1000	0
Dfd_SOLEXA	2	2	587	soc	693	804	0
D19B_SOLEXA_5	2	2	587	soc	843	885	0
D19A_F10_12_SANGER_5	2	2	587	soc	799	898	0
cwo_SOLEXA_5	3	3	584	soc	464	540	0
Ct_SOLEXA	1	1	587	soc	960	967	0
crol_F7_16_SOLEXA_2.5	5	5	581	soc	161	208	0
CG5953_SOLEXA	3	3	587	soc	594	637	0
CG5180_SOLEXA	3	3	587	soc	626	656	0
CG15601_SOLEXA	1	1	587	soc	917	922	0
CG12768_SOLEXA	4	4	586	soc	418	385	0
CG10904_SOLEXA	1	1	587	NA	959	974	0
cas_SELEX	4	4	587	NA	376	406	0
C15_SOLEXA	2	2	587	NA	618	638	0
BtbVII_SOLEXA	3	3	587	soc	471	472	0
br_PE_SOLEXA_5	1	1	587	soc	938	948	0
BH1_SOLEXA	1	1	587	soc	895	847	0
Atf6_SOLEXA	2	2	586	sol	750	810	0
vri_SOLEXA	3	4	587	soc	467	326	-1
vfl_SOLEXA_5	4	5	587	NA	366	334	-1
usp_SOLEXA	1	2	587	NA	935	855	-1
tj_SOLEXA	3	4	587	NA	617	642	-1
tgo_sima_SOLEXA_5	3	4	587	soc	522	395	-1
Stat92E_SELEX	3	4	587	soc	601	415	-1
sage_da_SOLEXA_5	3	4	587	NA	554	488	-1
peb_F1_3_SOLEXA_2.5	3	4	587	sol	492	334	-1
Optix_SOLEXA	3	4	587	soc	588	400	-1
lola_PK_SOLEXA	5	6	587	NA	212	148	-1
lola_PC_SOLEXA_5	2	3	587	soc	803	559	-1
Hth_SOLEXA	3	4	587	soc	583	557	-1
Hsf_compiled	7	8	587	soc	43	57	-1
Hr51_SOLEXA	0	1	587	NA	1000	964	-1
Hand_da_SOLEXA_5	3	4	587	NA	550	516	-1
gce_SOLEXA_5	2	3	587	NA	810	588	-1
GATAd_SOLEXA	3	4	586	NA	443	281	-1
Fer2_da_SOLEXA_5	2	3	587	NA	739	696	-1
Fer1_SOLEXA_5	1	2	586	NA	918	853	-1
Fer1_da_SOLEXA_5	2	3	587	NA	743	706	-1
Eip93F_SOLEXA	2	3	587	soc	767	581	-1
Eip74EF_SOLEXA	4	5	587	soc	335	288	-1
eg_SOLEXA	2	3	587	NA	762	672	-1
Dip3_SOLEXA	2	3	587	soc	798	637	-1
dimm_da_SOLEXA_5	2	3	587	soc	754	690	-1
ci_SOLEXA_5	3	4	585	sol	620	517	-1
CG9437_SOLEXA	2	3	587	soc	803	543	-1
CG4854_SOLEXA_5	3	4	587	NA	615	533	-1
CG3919_SOLEXA	2	3	587	NA	813	665	-1
CG15696_SOLEXA	1	2	587	soc	884	645	-1
CG13897_SOLEXA	2	3	587	NA	777	665	-1
CG12605_SOLEXA_5	0	1	587	NA	1000	981	-1
byn_FlyReg	3	4	587	NA	516	477	-1
Antp_SOLEXA	0	1	587	soc	1000	869	-1
Adf1_SOLEXA	2	3	587	sol	835	657	-1
ab_SOLEXA_5	2	3	587	NA	763	687	-1
AbdB_SOLEXA	1	2	587	soc	860	638	-1
Usf_SOLEXA_5	2	4	586	NA	720	374	-2
Tin_SOLEXA	2	4	587	NA	767	368	-2
pho_SOLEXA_5	3	5	587	sol	522	269	-2
onecut_SOLEXA	1	3	587	soc	923	544	-2
lola_PJ_SOLEXA	1	3	586	soc	928	553	-2
jim_F1_9_SOLEXA_2.5	1	3	587	soc	976	668	-2
gl_SOLEXA_5	2	4	587	NA	849	595	-2
ey_SOLEXA	1	3	587	NA	961	744	-2
Ets21C_SOLEXA	2	4	587	soc	730	482	-2
da_SOLEXA_5	0	2	587	sol	1000	837	-2
Crc_CG6272_SOLEXA	2	4	587	soc	745	403	-2
cnc_maf_s_SELEX	2	4	587	soc	855	687	-2
CG3838_SOLEXA	4	6	587	soc	390	144	-2
CG3065_F1_5_SOLEXA_2.5	2	4	587	sol	831	589	-2
CG17181_SOLEXA_5	1	3	587	NA	952	744	-2
CG14962_SOLEXA_5	2	4	587	NA	844	504	-2
CG12029_SOLEXA_5	2	4	587	NA	820	619	-2
CG10267_F1_3_SOLEXA_5	2	4	587	soc	842	349	-2
Blimp_1_SOLEXA_5	2	4	587	NA	833	491	-2
Bap_SOLEXA	2	4	587	soc	708	261	-2
acj6_SOLEXA	3	5	587	soc	609	233	-2
Sox14_SOLEXA	0	3	587	soc	1000	553	-3
slbo_SOLEXA	0	3	587	NA	1000	554	-3
salr_F3_5_SOLEXA_2.5	4	7	587	NA	488	118	-3
pros_SELEX	2	5	587	sol	800	398	-3
peb_F5_7_SOLEXA_2.5	1	4	587	soc	975	522	-3
mef2_compiled	1	4	587	soc	945	351	-3
Ind_Cell	3	6	587	soc	387	37	-3
Hr46_SOLEXA	2	5	587	sol	753	298	-3
Gsc_SOLEXA	0	3	587	NA	1000	370	-3
esg_F3_5_SOLEXA	2	5	584	soc	811	278	-3
CG8765_SOLEXA	1	4	587	NA	966	491	-3
CG8319_SOLEXA_2.5	2	5	587	NA	806	267	-3
CG7928_SOLEXA_5	0	3	587	sol	1000	817	-3
CG4360_F1_3_SOLEXA_2.5	1	4	587	soc	948	488	-3
CG31670_SOLEXA_5	0	3	587	NA	1000	757	-3
CG1621_SOLEXA	0	3	587	NA	1000	725	-3
brk_FlyReg	1	4	587	sol	929	513	-3
Trl_FlyReg	2	6	587	NA	779	169	-4
trem_SELEX	1	5	587	sol	957	381	-4
toy_SOLEXA	2	6	587	sol	828	218	-4
tap_da_SOLEXA_5	0	4	587	sol	1000	528	-4
sug_SOLEXA_5	0	4	587	NA	1000	497	-4
