motif	soc_sig	sol_sig	#tests	genome-wide
ac_da_SOLEXA_5	0	0	4	NA
acj6_SOLEXA	0	0	16	soc
Adf1_SOLEXA	0	0	26	sol
Aef1_SOLEXA_5	0	0	5	soc
apt_SELEX	0	0	0	soc
Atf_2_SOLEXA	0	0	1	soc
Atf6_SOLEXA	0	0	0	sol
bab1_SOLEXA	1	1	86	NA
Blimp_1_SOLEXA_5	0	0	13	NA
bowl_SOLEXA_5	0	0	6	NA
br_PA_SOLEXA_5	0	0	8	soc
br_PE_SOLEXA_5	0	0	1	soc
br_PL_SOLEXA_5	0	0	11	NA
BtbVII_SOLEXA	0	0	51	soc
cas_SELEX	0	0	3	NA
Cf2_PA_SOLEXA_2.5	0	0	31	soc
Cf2_PB_SOLEXA_5	0	0	57	soc
CG10267_F1_3_SOLEXA_5	0	0	15	soc
CG10904_SOLEXA	0	0	28	NA
CG11071_SOLEXA_5	0	0	1	sol
CG11504_SOLEXA	0	0	1	soc
CG11723_SOLEXA	0	0	50	NA
CG12155_SOLEXA	0	0	3	soc
CG12236_PB_SOLEXA_2.5	0	0	13	NA
CG12768_SOLEXA	0	0	3	soc
CG13897_SOLEXA	0	0	16	NA
CG15601_SOLEXA	0	0	1	soc
CG1621_SOLEXA	0	0	21	NA
CG31782_SOLEXA_5	0	0	35	NA
CG3838_SOLEXA	0	0	7	soc
CG3919_SOLEXA	0	0	10	NA
CG4360_F1_3_SOLEXA_2.5	0	0	1	soc
CG4404_SOLEXA	0	0	0	NA
CG5180_SOLEXA	0	0	1	soc
CG5953_SOLEXA	0	0	4	soc
CG6276_SOLEXA	0	0	4	NA
CG8281_SOLEXA	0	0	2	NA
CG8765_SOLEXA	0	0	3	NA
CG9437_SOLEXA	0	0	3	soc
ci_SOLEXA_5	0	0	10	sol
cic_SOLEXA	0	0	2	NA
cnc_maf_s_SELEX	0	0	0	soc
Crc_CG6272_SOLEXA	0	0	2	soc
CrebA_SOLEXA	0	0	3	soc
crol_F7_16_SOLEXA_2.5	0	0	34	soc
crp_SOLEXA_5	0	0	2	NA
cwo_SOLEXA_5	0	0	0	soc
D19B_SOLEXA_5	0	0	2	soc
da_SOLEXA_5	0	0	6	sol
Dif_Rel_SELEX	0	0	0	NA
dimm_da_SOLEXA_5	0	0	0	soc
Dip3_SOLEXA	0	0	8	soc
Doc2_SOLEXA	0	0	0	NA
dsx_SELEX	0	0	6	soc
dys_tgo_SOLEXA_5	0	0	2	NA
eg_SOLEXA	0	0	0	NA
Eip74EF_SOLEXA	0	0	1	soc
Eip93F_SOLEXA	0	0	3	soc
esg_F3_5_SOLEXA	0	0	10	soc
Ets21C_SOLEXA	0	0	4	soc
Ets98B_SOLEXA	0	0	5	soc
ey_SOLEXA	0	0	0	NA
eyg_SOLEXA_t50	0	0	0	NA
Fer1_da_SOLEXA_5	0	0	9	NA
Fer1_SOLEXA_5	0	0	2	NA
Fer2_da_SOLEXA_5	0	0	3	NA
foxo_SOLEXA	0	0	25	soc
ftz_f1_SOLEXA_2	0	0	0	NA
GATAd_SOLEXA	0	0	0	NA
gce_SOLEXA_5	0	0	44	NA
gcm_SELEX	0	0	2	sol
gt_SOLEXA	0	0	0	soc
h_SOLEXA_5	0	0	10	soc
Hand_da_SOLEXA_5	0	0	2	NA
Her_SOLEXA_5	0	0	2	sol
Hey_SOLEXA_5	0	0	4	NA
hkb_SOLEXA_5	0	0	4	sol
HLH106_SOLEXA_5_4	0	0	3	NA
HLH4C_da_SOLEXA_5	0	0	2	NA
HLH4C_SOLEXA_5	0	0	1	NA
HLH54F_da_SOLEXA_5	0	0	6	NA
Hr39_SOLEXA	0	0	1	NA
Hr46_SOLEXA	0	0	2	sol
Hr51_SOLEXA	0	0	3	NA
Hr78_SOLEXA	0	0	1	NA
Hr83_SOLEXA	0	0	2	soc
Hsf_compiled	0	0	1	soc
jigr1_SOLEXA	0	0	41	NA
Kr_SOLEXA_2.5	0	0	32	NA
lola_PA_SOLEXA_5	0	0	8	NA
lola_PC_SOLEXA_5	0	0	14	soc
lola_PD_SOLEXA_5	0	0	28	NA
lola_PF_SOLEXA_2.5	0	0	0	NA
lola_PG_SOLEXA_	0	0	4	soc
lola_PJ_SOLEXA	0	0	2	soc
