motif	soc_sig	sol_sig	num_tests	previous	soc_perms	sol_perms	soc-sol
Rel_SANGER	3	0	51	soc	3	1000	3
z_FlyReg	3	1	207	NA	171	733	2
sr_SOLEXA_5	2	0	185	sol	386	1000	2
Mad_FlyReg	2	0	378	sol	613	1000	2
lola_PD_SOLEXA_5	2	0	133	NA	278	1000	2
lola_PC_SOLEXA_5	2	0	156	soc	205	1000	2
crol_F7_16_SOLEXA_2.5	2	0	122	soc	184	1000	2
Cf2_PB_SOLEXA_5	2	0	176	soc	236	1000	2
Ara_SOLEXA	3	1	251	soc	130	725	2
vvl_SOLEXA	1	0	199	soc	673	1000	1
ttk_PA_SOLEXA_5	1	0	162	NA	637	1000	1
shn_F1_2_SOLEXA_2.5	1	0	32	NA	178	1000	1
peb_F1_3_SOLEXA_2.5	1	0	44	sol	193	1000	1
pad_SOLEXA_5	1	0	227	NA	776	1000	1
lola_PA_SOLEXA_5	1	0	154	NA	575	1000	1
Lag1_SOLEXA	1	0	118	soc	533	1000	1
h_SOLEXA_5	1	0	75	soc	348	1000	1
grh_FlyReg	3	2	286	NA	216	415	1
foxo_SOLEXA	1	0	193	soc	703	1000	1
Deaf1_FlyReg	2	1	368	NA	640	864	1
D19A_F10_12_SANGER_5	1	0	133	soc	560	1000	1
CG8765_SOLEXA	1	0	82	NA	377	1000	1
CG4404_SOLEXA	1	0	15	NA	70	1000	1
CG3065_F1_5_SOLEXA_2.5	2	1	72	sol	97	223	1
CG13897_SOLEXA	2	1	124	NA	158	406	1
CG12236_PA_SOLEXA_5	2	1	40	soc	27	104	1
CG10267_F1_3_SOLEXA_5	2	1	111	soc	167	429	1
Cf2_PA_SOLEXA_2.5	1	0	125	soc	514	1000	1
C15_SOLEXA	1	0	189	NA	564	1000	1
byn_FlyReg	1	0	199	NA	592	1000	1
br_PA_SOLEXA_5	1	0	102	soc	504	1000	1
Xrp1_CG6272_SOLEXA	0	0	35	soc	1000	1000	0
vri_SOLEXA	0	0	32	soc	1000	1000	0
vfl_SOLEXA_5	0	0	18	NA	1000	1000	0
usp_SOLEXA	0	0	14	NA	1000	1000	0
Usf_SOLEXA_5	0	0	26	NA	1000	1000	0
Trl_FlyReg	2	2	392	NA	682	521	0
Tkr_SOLEXA	0	0	96	soc	1000	1000	0
tj_SOLEXA	0	0	45	NA	1000	1000	0
tgo_ss_SOLEXA_5	1	1	45	NA	179	151	0
tgo_sima_SOLEXA_5	0	0	51	soc	1000	1000	0
tai_SOLEXA_5	0	0	126	NA	1000	1000	0
sug_SOLEXA_5	0	0	60	NA	1000	1000	0
Stat92E_SELEX	0	0	18	soc	1000	1000	0
Sox14_SOLEXA	0	0	93	soc	1000	1000	0
slbo_SOLEXA	0	0	68	NA	1000	1000	0
Six4_SOLEXA_2	0	0	133	NA	1000	1000	0
Side_SOLEXA_5	0	0	99	NA	1000	1000	0
sens_SOLEXA_5	0	0	19	NA	1000	1000	0
sd_FlyReg	0	0	217	soc	1000	1000	0
salr_F3_5_SOLEXA_2.5	0	0	33	NA	1000	1000	0
sage_da_SOLEXA_5	0	0	64	NA	1000	1000	0
run_Bgb_NBT	0	0	23	NA	1000	1000	0
rib_SOLEXA	0	0	158	soc	1000	1000	0
retn_SOLEXA	0	0	146	soc	1000	1000	0
pho_SOLEXA_5	0	0	32	sol	1000	1000	0
peb_F5_7_SOLEXA_2.5	1	1	101	soc	521	389	0
Parx_da_SOLEXA_5	0	0	94	NA	1000	1000	0
ovo_SOLEXA_5	0	0	14	soc	1000	1000	0
onecut_SOLEXA	0	0	138	soc	1000	1000	0
Oli_da_SOLEXA_5_1	0	0	13	NA	1000	1000	0
nub_SOLEXA	0	0	158	soc	1000	1000	0
NFAT_SOLEXA	0	0	52	NA	1000	1000	0
nau_SOLEXA_5	0	0	32	soc	1000	1000	0
Met_SOLEXA_5	0	0	126	NA	1000	1000	0
Mes2_SOLEXA	0	0	14	sol	1000	1000	0
Max_Mnt_SOLEXA_5	0	0	49	soc	1000	1000	0
lola_PY_SOLEXA_5	1	1	107	NA	477	368	0
lola_PU_SOLEXA_5	0	0	17	NA	1000	1000	0
lola_PL_SOLEXA_2.5	0	0	170	NA	1000	1000	0
lola_PK_SOLEXA	0	0	61	NA	1000	1000	0
lola_PJ_SOLEXA	0	0	57	soc	1000	1000	0
lola_PG_SOLEXA_	0	0	49	soc	1000	1000	0
l_3_neo38_SOLEXA_2.5	0	0	130	NA	1000	1000	0
Kr_SOLEXA_2.5	1	1	181	NA	690	526	0
klu_SOLEXA_5	1	1	149	sol	694	460	0
kay_Jra_SANGER	0	0	20	soc	1000	1000	0
jigr1_SOLEXA	1	1	172	NA	650	610	0
Ind_Cell	0	0	128	soc	1000	1000	0
