CNEE	SocFast	SolFast	Equal	MedSoc-Sol	ProxOG	ProxType	Fly	HAv3.1	Age	AAUR_APUR	HLIG_HQUA	LMAR_LFIG	LZEP_LVIE	LPAU_LOEN
ce45540	5	0	0	0.7766	13164	intron	ptc	LOC100576449	Bilateria	(129;4;2)	(137;4;11)	(136;5;0)	(139;2;0)	(136;5;0)
ce83937	5	0	0	0.5992	12026	intron	A2VEE0_DROME	LOC100577364	Bilateria	(101;2;3)	(106;10;28)	(135;3;0)	(135;3;0)	(136;2;0)
ce171861	5	0	0	0.5982	13662	promoter	Dmel\\CG9986	LOC410871	Bilateria	(130;8;0)	(141;5;0)	(143;3;0)	(141;4;1)	(141;5;15)
ce6603	5	0	0	0.5814	15977	intron	NA	NA	Bilateria	(116;2;0)	(114;4;0)	(115;3;0)	(117;1;0)	(116;2;0)
ce87607	5	0	0	0.5787	10789	intron	Nlg4	NLG-4	Bilateria	(94;11;0)	(100;5;0)	(103;2;0)	(104;1;0)	(104;1;0)
ce129159	5	0	0	0.5684	13059	intron	NA	NA	Bilateria	(117;6;6)	(119;4;1)	(119;4;4)	(122;2;0)	(121;3;0)
ce120685	5	0	0	0.5596	11861	intron	NA	LOC408280	Hymenoptera	(105;3;3)	(105;3;0)	(100;8;0)	(107;1;0)	(103;4;0)
ce156669	5	0	0	0.5233	19709	intron	NA	NA	Bilateria	(146;4;5)	(146;4;1)	(144;5;1)	(147;3;0)	(150;2;0)
ce69734	5	0	0	0.4879	16392	intron	Plod	LOC100578909	Bilateria	(107;12;1)	(113;2;0)	(111;9;0)	(119;1;0)	(118;2;0)
ce19202	5	0	0	0.437	12760	intron	sdk	IGFn3-8	Bilateria	(131;7;28)	(116;1;39)	(118;4;37)	(123;1;0)	(127;3;15)
ce63764	5	0	0	0.4357	10232	intron	fas	LOC724195	Bilateria	(109;6;0)	(112;3;0)	(112;3;0)	(114;1;0)	(114;1;0)
ce40942	5	0	0	0.4299	12362	intron	BcDNA:RE29468	LOC409956	Neoptera	(209;8;10)	(186;13;19)	(206;3;0)	(208;1;1)	(206;3;2)
ce134153	5	0	0	0.4297	11520	promoter	B4YXH6_DROME	gprs	Bilateria	(126;3;4)	(129;3;2)	(118;14;0)	(125;1;4)	(130;2;0)
ce126585	5	0	0	0.4179	20350	intron	NA	NA	NA	(130;6;0)	(136;4;1)	(136;7;0)	(142;1;0)	(141;2;0)
ce41760	5	0	0	0.4145	16913	intron	caup	LOC412840	Bilateria	(181;3;12)	(190;1;0)	(184;7;0)	(189;2;0)	(189;2;0)
ce84369	5	0	0	0.4105	17571	promoter	Miro	LOC725244	Bilateria	(161;7;0)	(164;4;1)	(164;4;0)	(166;2;0)	(163;5;3)
ce30603	5	0	0	0.4087	11059	intron	Ddr	LOC411213	Bilateria	(198;7;29)	(187;4;0)	(169;12;13)	(188;3;0)	(187;4;0)
ce5680	5	0	0	0.4022	15961	promoter	NA	LOC724420	Bilateria	(149;5;0)	(149;5;5)	(142;4;0)	(145;1;0)	(135;5;25)
ce119859	5	0	0	0.3903	18836	intron	NA	LOC727455	Bilateria	(150;7;0)	(141;5;13)	(155;2;0)	(154;3;0)	(155;2;0)
ce157038	5	0	0	0.3889	12093	intron	Efa6	LOC411463	Bilateria	(107;8;6)	(108;6;0)	(111;4;1)	(116;2;0)	(111;3;3)
ce53211	5	0	0	0.3881	10335	intron	NA	NA	Bilateria	(98;4;5)	(102;2;0)	(100;4;0)	(102;2;0)	(103;1;0)
ce44746	5	0	0	0.3847	11768	intron	Dmel\\CG10375	LOC410294	Bilateria	(245;19;11)	(258;6;0)	(257;9;4)	(257;8;2)	(278;2;0)
ce44784	5	0	0	0.3818	17201	promoter	NA	NA	Bilateria	(139;9;2)	(87;9;68)	(150;2;2)	(151;1;0)	(145;5;6)
ce61340	5	0	0	0.3813	11015	intron	otp	LOC724282	Bilateria	(176;5;0)	(178;4;0)	(178;4;0)	(180;2;0)	(179;3;0)
ce153558	5	0	0	0.3779	10401	promoter	NA	NA	Bilateria	(100;5;0)	(103;2;0)	(93;9;3)	(104;1;0)	(104;1;2)
ce40063	5	0	0	0.3773	10485	intron	Pura	LOC100577035	Bilateria	(205;2;1)	(181;0;26)	(205;4;20)	(207;3;0)	(208;2;0)
ce26120	5	0	0	0.3752	21902	intron	NA	NA	NA	(182;5;1)	(178;6;10)	(181;4;0)	(178;1;0)	(177;2;0)
ce904	5	0	0	0.3718	15767	intron	NA	NA	Bilateria	(104;3;0)	(106;1;0)	(105;2;2)	(104;3;0)	(106;1;0)
ce130152	5	0	0	0.3703	11791	intron	NA	LOC100577220	Bilateria	(106;1;0)	(105;2;0)	(103;5;0)	(107;1;0)	(107;1;0)
ce61093	5	0	0	0.3669	11396	intron	nolo	LOC410696	Bilateria	(107;2;2)	(107;4;1)	(104;3;2)	(108;1;0)	(108;1;0)
ce111062	5	0	0	0.3666	10458	intron	pum	LOC408298	Bilateria	(206;12;15)	(219;6;26)	(227;5;0)	(228;2;12)	(232;2;18)
ce23987	5	0	0	0.3649	14052	intron	NA	NA	Bilateria	(122;10;3)	(111;4;19)	(133;1;0)	(134;1;0)	(130;4;0)
ce54868	5	0	0	0.3623	15530	promoter	NA	Hk	Bilateria	(487;6;13)	(389;24;201)	(388;14;41)	(424;7;19)	(412;8;14)
ce43488	5	0	0	0.3616	18277	intron	Rpb8	LOC102655904	Bilateria	(138;4;0)	(142;5;9)	(126;4;1)	(130;1;0)	(125;3;4)
ce150563	5	0	0	0.3599	10245	intron	Fhos	LOC409786	Bilateria	(187;7;1)	(185;7;0)	(188;4;0)	(191;2;0)	(191;1;0)
ce175158	5	0	0	0.357	16234	intron	Ca-alpha1D	LOC100578899	Bilateria	(112;3;4)	(112;1;0)	(112;1;0)	(110;3;0)	(112;1;0)
ce159275	5	0	0	0.3564	10870	promoter	2D9	NA	Bilateria	(101;2;10)	(99;4;1)	(96;5;0)	(97;4;0)	(100;1;1)
ce120175	5	0	0	0.3543	13724	intron	SelR	LOC724494	Bilateria	(106;2;0)	(106;4;0)	(109;2;0)	(110;1;0)	(110;1;0)
ce95888	5	0	0	0.3514	11751	intron	AdamTS-A	LOC412091	Bilateria	(186;6;37)	(228;8;0)	(224;4;4)	(244;6;0)	(219;5;7)
